name,brand,category,description,quantity_value,quantity_unit,price,sale_price,currency,is_on_sale,is_organic,is_available,search_aliases,image_url,source
Antiseptic - Disinfectant Liquid,,other,,50.0,ml,24.9375,23.75,INR,True,False,True,"{""disinfectant"",""antiseptic - disinfectant liquid"",""antiseptic"",""liquid""}","https://loremflickr.com/400/400/grocery,product?lock=5806",bigbasket_dataset
"Foam Shave - Lathers Quickly & Hydrates, Regular",,other,,418.0,g,279.0,225.0,INR,True,False,True,"{""quickly"",""hydrates,"",""foam shave - lathers quickly & hydrates, regular"",""regular"",""foam"",""lathers"",""shave""}","https://loremflickr.com/400/400/grocery,product?lock=9789",bigbasket_dataset
"Toothbrush - ZigZag, Soft Bristles",,other,,1.0,pc,35.0,35.0,INR,False,False,True,"{""toothbrush"",""toothbrush - zigzag, soft bristles"",""soft"",""bristles"",""zigzag,""}","https://loremflickr.com/400/400/grocery,product?lock=347",bigbasket_dataset
Neem Naturals - Aloe Vera & Jasmine,,other,,100.0,g,41.7942,39.06,INR,True,False,True,"{""vera"",""naturals"",""jasmine"",""neem"",""neem naturals - aloe vera & jasmine"",""aloe""}","https://loremflickr.com/400/400/grocery,product?lock=9062",bigbasket_dataset
Happy Naturals Yuzu & Bergamot Fragrance Shower Gel,,other,,500.0,ml,454.09,349.3,INR,True,False,True,"{""happy naturals yuzu & bergamot fragrance shower gel"",""yuzu"",""shower"",""happy"",""naturals"",""fragrance"",""bergamot""}","https://loremflickr.com/400/400/grocery,product?lock=2777",bigbasket_dataset
Organic Wheatgrass Powder,,other,,75.0,g,132.66,99.0,INR,True,True,True,"{""powder"",""organic"",""wheatgrass"",""organic wheatgrass powder""}","https://loremflickr.com/400/400/grocery,product?lock=457",bigbasket_dataset
Neem Naturals Almond Oil & Rose,,other,,100.0,g,191.16,162.0,INR,True,False,True,"{""rose"",""naturals"",""neem"",""neem naturals almond oil & rose"",""almond""}",https://loremflickr.com/400/400/oil?lock=1449,bigbasket_dataset
Perfumed Deodorant Body Spray - Lace Satin (Women),,other,,150.0,ml,199.0,199.0,INR,False,False,True,"{""spray"",""perfumed deodorant body spray - lace satin (women)"",""satin"",""body"",""deodorant"",""lace"",""(women)"",""perfumed""}","https://loremflickr.com/400/400/grocery,product?lock=3929",bigbasket_dataset
Fruit Power Juice - Masala Pomegranate,,other,,1.0,l,105.0,70.0,INR,True,False,True,"{""juice"",""pomegranate"",""power"",""fruit"",""fruit power juice - masala pomegranate"",""masala""}",https://loremflickr.com/400/400/juice?lock=269,bigbasket_dataset
"Instant Energy Health Drink - Mango Blast, Refill",,other,,75.0,g,50.0,50.0,INR,False,False,True,"{""energy"",""refill"",""health"",""instant energy health drink - mango blast, refill"",""blast,"",""drink"",""mango"",""instant""}","https://loremflickr.com/400/400/grocery,product?lock=6234",bigbasket_dataset
Icey Rose Vanilla Sparkling Iced Tea,,other,,330.0,ml,99.0,99.0,INR,False,False,True,"{""icey"",""rose"",""iced"",""vanilla"",""sparkling"",""icey rose vanilla sparkling iced tea""}",https://loremflickr.com/400/400/tea?lock=3162,bigbasket_dataset
Icey Strawberry Lemonade Sparkling Iced Tea,,other,,330.0,ml,99.0,99.0,INR,False,False,True,"{""lemonade"",""icey"",""icey strawberry lemonade sparkling iced tea"",""iced"",""sparkling"",""strawberry""}",https://loremflickr.com/400/400/tea?lock=2868,bigbasket_dataset
Icey Lemon Ginger Sparkling Iced Tea,,other,,330.0,ml,99.0,99.0,INR,False,False,True,"{""icey"",""icey lemon ginger sparkling iced tea"",""iced"",""sparkling"",""ginger"",""lemon""}",https://loremflickr.com/400/400/tea?lock=3980,bigbasket_dataset
Premium Black Leaf Tea,,other,,250.0,g,230.0,230.0,INR,False,False,True,"{""premium black leaf tea"",""leaf"",""premium"",""black""}",https://loremflickr.com/400/400/tea?lock=3267,bigbasket_dataset
Packaged Drinking Water,,other,,1.0,l,20.0,20.0,INR,False,False,True,"{""water"",""packaged drinking water"",""packaged"",""drinking""}","https://loremflickr.com/400/400/water,bottle?lock=286",bigbasket_dataset
Digest Chai Flavoured Black Tea - With Prebiotic Fibre,,other,,200.0,g,192.0,160.0,INR,True,False,True,"{""with"",""digest chai flavoured black tea - with prebiotic fibre"",""digest"",""fibre"",""prebiotic"",""chai"",""flavoured"",""black""}",https://loremflickr.com/400/400/tea?lock=4726,bigbasket_dataset
Pink Paloma Cocktail Mixer - Non-Alcoholic Fruit Beverage,,other,,250.0,ml,99.0,99.0,INR,False,False,True,"{""cocktail"",""paloma"",""non-alcoholic"",""beverage"",""pink paloma cocktail mixer - non-alcoholic fruit beverage"",""mixer"",""fruit"",""pink""}","https://loremflickr.com/400/400/grocery,product?lock=8791",bigbasket_dataset
Premium Black Leaf Tea,,other,,500.0,g,322.9575,216.75,INR,True,False,True,"{""premium black leaf tea"",""leaf"",""premium"",""black""}",https://loremflickr.com/400/400/tea?lock=3267,bigbasket_dataset
Premium Non-Alcoholic Mixer - Mojito,,other,,250.0,ml,98.79,89.0,INR,True,False,True,"{""premium"",""non-alcoholic"",""mojito"",""mixer"",""premium non-alcoholic mixer - mojito""}","https://loremflickr.com/400/400/grocery,product?lock=7787",bigbasket_dataset
Immuno Chai Flavoured Black Tea - With Zinc,,other,,200.0,g,200.0,200.0,INR,False,False,True,"{""with"",""zinc"",""immuno"",""immuno chai flavoured black tea - with zinc"",""chai"",""flavoured"",""black""}",https://loremflickr.com/400/400/tea?lock=7121,bigbasket_dataset
Functional Energy Drink - Baja Lime,,other,,250.0,ml,112.5,90.0,INR,True,False,True,"{""functional energy drink - baja lime"",""energy"",""baja"",""drink"",""functional"",""lime""}","https://loremflickr.com/400/400/grocery,product?lock=2400",bigbasket_dataset
Functional Energy Drink - Sour Gummy Worms,,other,,250.0,ml,112.5,90.0,INR,True,False,True,"{""worms"",""energy"",""functional energy drink - sour gummy worms"",""drink"",""gummy"",""functional"",""sour""}","https://loremflickr.com/400/400/grocery,product?lock=4957",bigbasket_dataset
Functional Energy Drink - Voodoo,,other,,250.0,ml,112.5,90.0,INR,True,False,True,"{""functional energy drink - voodoo"",""voodoo"",""energy"",""drink"",""functional""}","https://loremflickr.com/400/400/grocery,product?lock=3734",bigbasket_dataset
Functional Energy Drink - South Beach,,other,,250.0,ml,112.5,90.0,INR,True,False,True,"{""functional energy drink - south beach"",""south"",""energy"",""drink"",""functional"",""beach""}","https://loremflickr.com/400/400/grocery,product?lock=1318",bigbasket_dataset
Green Apple Sour Cocktail Mixer - Non-Alcoholic Fruit Beverage,,other,,250.0,ml,99.0,99.0,INR,False,False,True,"{""cocktail"",""fruit"",""non-alcoholic"",""beverage"",""green apple sour cocktail mixer - non-alcoholic fruit beverage"",""mixer"",""green"",""apple"",""sour""}",https://loremflickr.com/400/400/apple?lock=9909,bigbasket_dataset
Cranberry Cosmopolitan Cocktail Mixer - Non-Alcoholic Fruit Beverage,,other,,250.0,ml,99.0,99.0,INR,False,False,True,"{""cocktail"",""cosmopolitan"",""non-alcoholic"",""cranberry cosmopolitan cocktail mixer - non-alcoholic fruit beverage"",""cranberry"",""beverage"",""mixer"",""fruit""}","https://loremflickr.com/400/400/grocery,product?lock=8668",bigbasket_dataset
"Nutri Drink+ Breakfast Cereal Drink Mix - With Millets, Almond Flavour",,other,,400.0,g,585.5224999999999,509.15,INR,True,False,True,"{""millets,"",""drink+"",""nutri"",""nutri drink+ breakfast cereal drink mix - with millets, almond flavour"",""cereal"",""drink"",""breakfast"",""with"",""flavour"",""almond""}","https://loremflickr.com/400/400/grocery,product?lock=9844",bigbasket_dataset
Premium CTC Tea,,other,,250.0,g,199.0,199.0,INR,False,False,True,"{""premium"",""premium ctc tea""}",https://loremflickr.com/400/400/tea?lock=4068,bigbasket_dataset
"Kolkata Street Chai, Kolkata Black Tea, With Cardamom, Ginger & Nutmeg",,other,,100.0,g,550.0,550.0,INR,False,False,True,"{""with"",""kolkata street chai, kolkata black tea, with cardamom, ginger & nutmeg"",""kolkata"",""tea,"",""chai,"",""ginger"",""cardamom,"",""nutmeg"",""street"",""black""}",https://loremflickr.com/400/400/tea?lock=2371,bigbasket_dataset
Hibiscus Flower Tea,,other,,50.0,g,349.0,349.0,INR,False,False,True,"{""flower"",""hibiscus"",""hibiscus flower tea""}",https://loremflickr.com/400/400/tea?lock=5304,bigbasket_dataset
"Paan Cardamom, Paan Flavoured Tea, With Sweet Mix Flavours & Cardamom",,other,,100.0,g,585.9375,468.75,INR,True,False,True,"{""sweet"",""paan cardamom, paan flavoured tea, with sweet mix flavours & cardamom"",""paan"",""tea,"",""cardamom,"",""flavours"",""with"",""cardamom"",""flavoured""}",https://loremflickr.com/400/400/tea?lock=1154,bigbasket_dataset
Tulsi Green Tea - Honey Lemon,,other,,1.8,g,215.0,215.0,INR,False,False,True,"{""green"",""tulsi"",""tulsi green tea - honey lemon"",""honey"",""lemon""}",https://loremflickr.com/400/400/tea?lock=5940,bigbasket_dataset
"Darjeeling Rare Wonder, Handpicked From The Hills Of Darjeeling",,other,,50.0,g,1500.0,1500.0,INR,False,False,True,"{""darjeeling rare wonder, handpicked from the hills of darjeeling"",""hills"",""wonder,"",""from"",""handpicked"",""darjeeling"",""rare""}","https://loremflickr.com/400/400/grocery,product?lock=7155",bigbasket_dataset
Black Drink,,other,,250.0,ml,65.0,65.0,INR,False,False,True,"{""black drink"",""drink"",""black""}","https://loremflickr.com/400/400/grocery,product?lock=6482",bigbasket_dataset
Instant Coffee Powder,,other,,190.0,g,2848.96,1228.0,INR,True,False,True,"{""powder"",""instant coffee powder"",""instant"",""coffee""}",https://loremflickr.com/400/400/coffee?lock=500,bigbasket_dataset
Himalayan Green Tea,,other,,100.0,g,299.0,299.0,INR,False,False,True,"{""green"",""himalayan green tea"",""himalayan""}",https://loremflickr.com/400/400/tea?lock=7288,bigbasket_dataset
Butterfly Blue Pea Flower Tea,,other,,50.0,g,399.0,399.0,INR,False,False,True,"{""butterfly"",""flower"",""butterfly blue pea flower tea"",""blue""}",https://loremflickr.com/400/400/tea?lock=4408,bigbasket_dataset
Whiskey Sour Cocktail Mixer - Non-Alcoholic Fruit Beverage,,other,,250.0,ml,123.75,99.0,INR,True,False,True,"{""cocktail"",""non-alcoholic"",""whiskey sour cocktail mixer - non-alcoholic fruit beverage"",""whiskey"",""beverage"",""mixer"",""fruit"",""sour""}","https://loremflickr.com/400/400/grocery,product?lock=8741",bigbasket_dataset
Immunity Booster Tea,,other,,100.0,g,374.0625,299.25,INR,True,False,True,"{""booster"",""immunity booster tea"",""immunity""}",https://loremflickr.com/400/400/tea?lock=8793,bigbasket_dataset
Turmeric Chamomile Tea,,other,,100.0,g,374.0625,299.25,INR,True,False,True,"{""turmeric chamomile tea"",""turmeric"",""chamomile""}",https://loremflickr.com/400/400/tea?lock=12,bigbasket_dataset
Royal Masala Chai,,other,,200.0,g,299.0,299.0,INR,False,False,True,"{""royal masala chai"",""masala"",""chai"",""royal""}","https://loremflickr.com/400/400/grocery,product?lock=8655",bigbasket_dataset
"Assam Orthodox, Assam Black Tea, Premium Tea With Malty Taste & Rich Colour",,other,,100.0,g,625.0,625.0,INR,False,False,True,"{""colour"",""premium"",""orthodox,"",""tea,"",""malty"",""taste"",""with"",""assam"",""assam orthodox, assam black tea, premium tea with malty taste & rich colour"",""rich"",""black""}",https://loremflickr.com/400/400/tea?lock=4645,bigbasket_dataset
Lavender & Chamomile Tea,,other,,50.0,g,399.0,399.0,INR,False,False,True,"{""lavender"",""lavender & chamomile tea"",""chamomile""}",https://loremflickr.com/400/400/tea?lock=8303,bigbasket_dataset
Coconut Cookies,,other,,75.0,g,29.25,25.0,INR,True,False,True,"{""coconut cookies"",""cookies"",""coconut""}","https://loremflickr.com/400/400/grocery,product?lock=370",bigbasket_dataset
Oatmeal Cookies - Sugar Free,,other,,75.0,g,56.25,45.0,INR,True,False,True,"{""sugar"",""cookies"",""oatmeal cookies - sugar free"",""oatmeal"",""free""}",https://loremflickr.com/400/400/sugar?lock=24,bigbasket_dataset
Whole Almonds Chocolate Bar,,other,,40.0,g,60.0,60.0,INR,False,False,True,"{""whole"",""almonds"",""chocolate"",""whole almonds chocolate bar""}",https://loremflickr.com/400/400/chocolate?lock=6645,bigbasket_dataset
Exquisite Chocolates - Heavenly Milk Mousse With Ghana Cocoa,,other,,128.0,g,249.075,202.5,INR,True,False,True,"{""exquisite chocolates - heavenly milk mousse with ghana cocoa"",""with"",""heavenly"",""exquisite"",""ghana"",""mousse"",""milk"",""cocoa"",""chocolates""}",https://loremflickr.com/400/400/milk?lock=2270,bigbasket_dataset
"Garbage Bags - Medium, Green, 48 x 53 cm",,other,,15.0,pcs,139.15,115.0,INR,True,False,True,"{""medium,"",""garbage"",""garbage bags - medium, green, 48 x 53 cm"",""bags"",""green,""}","https://loremflickr.com/400/400/grocery,product?lock=4952",bigbasket_dataset
"Garbage Bags - Small, Blue, 43x48 cm",,other,,15.0,pcs,124.95,105.0,INR,True,False,True,"{""garbage"",""garbage bags - small, blue, 43x48 cm"",""bags"",""blue,"",""43x48"",""small,""}","https://loremflickr.com/400/400/grocery,product?lock=2030",bigbasket_dataset
"Garbage Bags - Small, Green, 43x 48 cm",,other,,15.0,pcs,124.95,105.0,INR,True,False,True,"{""garbage bags - small, green, 43x 48 cm"",""garbage"",""bags"",""green,"",""small,""}","https://loremflickr.com/400/400/grocery,product?lock=3686",bigbasket_dataset
"Garbage Bags - Large, Green, 61x81 cm",,other,,10.0,pcs,187.74,149.0,INR,True,False,True,"{""garbage"",""large,"",""bags"",""green,"",""61x81"",""garbage bags - large, green, 61x81 cm""}","https://loremflickr.com/400/400/grocery,product?lock=6800",bigbasket_dataset
"Aluminium Foil - 18 Microns, Thick",,other,,9.0,mtr,149.0,149.0,INR,False,False,True,"{""thick"",""aluminium foil - 18 microns, thick"",""microns,"",""aluminium"",""foil""}",https://loremflickr.com/400/400/oil?lock=3495,bigbasket_dataset
Floor Cleaner Liquid - Floral Perfection,,other,,1.0,l,205.0,205.0,INR,False,False,True,"{""liquid"",""floral"",""floor"",""floor cleaner liquid - floral perfection"",""perfection"",""cleaner""}","https://loremflickr.com/400/400/grocery,product?lock=7326",bigbasket_dataset
Shoe Polish Paste - Dark Tan,,other,,15.0,g,33.0,33.0,INR,False,False,True,"{""paste"",""polish"",""shoe"",""shoe polish paste - dark tan"",""dark""}","https://loremflickr.com/400/400/grocery,product?lock=7004",bigbasket_dataset
Masala - Lemon Rice Powder,,other,,25.0,g,14.946,14.1,INR,True,False,True,"{""powder"",""rice"",""lemon"",""masala - lemon rice powder"",""masala""}",https://loremflickr.com/400/400/rice?lock=10000,bigbasket_dataset
Cardamom/Elaichi - Black,,other,,100.0,g,296.37,267.0,INR,True,False,True,"{""cardamom/elaichi - black"",""cardamom/elaichi"",""black""}","https://loremflickr.com/400/400/grocery,product?lock=9563",bigbasket_dataset
Dates - Deri,,other,,500.0,g,309.75,295.0,INR,True,False,True,"{""dates"",""deri"",""dates - deri""}","https://loremflickr.com/400/400/grocery,product?lock=9368",bigbasket_dataset
Ghee,,other,,500.0,ml,472.8156,425.96,INR,True,False,True,"{""ghee""}","https://loremflickr.com/400/400/grocery,product?lock=9544",bigbasket_dataset
Ponni Boiled - Rice,,other,,10.0,kg,1061.76,632.0,INR,True,False,True,"{""ponni boiled - rice"",""ponni"",""boiled"",""rice""}",https://loremflickr.com/400/400/oil?lock=4699,bigbasket_dataset
Kurva Boiled Rice,,other,,10.0,kg,755.16,609.0,INR,True,False,True,"{""kurva boiled rice"",""kurva"",""boiled"",""rice""}",https://loremflickr.com/400/400/oil?lock=6145,bigbasket_dataset
Cow Ghee,,other,,200.0,ml,180.3872,161.06,INR,True,False,True,"{""ghee"",""cow ghee""}","https://loremflickr.com/400/400/grocery,product?lock=4749",bigbasket_dataset
Smoked Paprika Powder,,other,,50.0,g,199.0,199.0,INR,False,False,True,"{""powder"",""smoked"",""smoked paprika powder"",""paprika""}","https://loremflickr.com/400/400/grocery,product?lock=2951",bigbasket_dataset
Organic Brown Top Millet Flakes,,other,,500.0,g,250.48,248.0,INR,True,True,True,"{""organic brown top millet flakes"",""flakes"",""organic"",""millet"",""brown""}","https://loremflickr.com/400/400/grocery,product?lock=6672",bigbasket_dataset
Organic - Kurnool Sona Masoori Raw Rice,,other,,10.0,kg,841.12,751.0,INR,True,True,True,"{""kurnool"",""organic - kurnool sona masoori raw rice"",""sona"",""masoori"",""rice"",""organic""}",https://loremflickr.com/400/400/rice?lock=9737,bigbasket_dataset
Jaya Boiled Rice,,other,,10.0,kg,686.28,602.0,INR,True,False,True,"{""jaya boiled rice"",""boiled"",""rice"",""jaya""}",https://loremflickr.com/400/400/oil?lock=230,bigbasket_dataset
White Pepper Powder,,other,,60.0,g,199.0,199.0,INR,False,False,True,"{""white"",""powder"",""white pepper powder"",""pepper""}","https://loremflickr.com/400/400/grocery,product?lock=2656",bigbasket_dataset
Premium - Turmeric Powder/Arisina Pudi,,other,,100.0,g,34.0,34.0,INR,False,False,True,"{""premium"",""turmeric"",""premium - turmeric powder/arisina pudi"",""powder/arisina"",""pudi""}","https://loremflickr.com/400/400/grocery,product?lock=9418",bigbasket_dataset
"Cold Pressed Sunflower Oil - 100% Natural, Pure & Unrefined, For Cooking",,other,,5.0,l,2195.0,2195.0,INR,False,False,True,"{""sunflower"",""pure"",""unrefined,"",""cold pressed sunflower oil - 100% natural, pure & unrefined, for cooking"",""pressed"",""natural,"",""cold"",""cooking"",""100%""}",https://loremflickr.com/400/400/oil?lock=2683,bigbasket_dataset
Sardar Aqa Natural Mineral Water - Helps In Better Digestion,,other,,250.0,ml,32.8125,26.25,INR,True,False,True,"{""water"",""helps"",""sardar"",""better"",""sardar aqa natural mineral water - helps in better digestion"",""natural"",""mineral"",""digestion""}","https://loremflickr.com/400/400/water,bottle?lock=688",bigbasket_dataset
Taj Aqa Still Natural Mineral Water - Helps In Better Digestion,,other,,250.0,ml,32.8125,26.25,INR,True,False,True,"{""water"",""helps"",""better"",""taj aqa still natural mineral water - helps in better digestion"",""natural"",""mineral"",""digestion"",""still""}","https://loremflickr.com/400/400/water,bottle?lock=5188",bigbasket_dataset
Moonlight Aqa Still Natural Mineral Water - Helps In Better Digestion,,other,,250.0,ml,32.8125,26.25,INR,True,False,True,"{""water"",""helps"",""better"",""moonlight aqa still natural mineral water - helps in better digestion"",""natural"",""moonlight"",""mineral"",""digestion"",""still""}","https://loremflickr.com/400/400/water,bottle?lock=3361",bigbasket_dataset
Iksa Still Natural Mineral Water - Helps In Better Digestion,,other,,250.0,ml,32.8125,26.25,INR,True,False,True,"{""water"",""helps"",""better"",""iksa"",""iksa still natural mineral water - helps in better digestion"",""natural"",""mineral"",""digestion"",""still""}","https://loremflickr.com/400/400/water,bottle?lock=5853",bigbasket_dataset
Collection Pralines,,other,,172.2,g,727.0899999999999,559.3,INR,True,False,True,"{""pralines"",""collection pralines"",""collection""}","https://loremflickr.com/400/400/grocery,product?lock=760",bigbasket_dataset
"Alkua Ionized Alkaline Water With Silver 5-8 mcg - High In Calcium, Magnesium",,other,,250.0,ml,42.1875,33.75,INR,True,False,True,"{""water"",""alkua"",""calcium,"",""magnesium"",""alkaline"",""silver"",""alkua ionized alkaline water with silver 5-8 mcg - high in calcium, magnesium"",""high"",""ionized"",""with""}","https://loremflickr.com/400/400/water,bottle?lock=1932",bigbasket_dataset
Agua Still Natural Mineral Water - Helps In Better Digestion,,other,,200.0,ml,18.75,15.0,INR,True,False,True,"{""water"",""helps"",""agua still natural mineral water - helps in better digestion"",""better"",""agua"",""natural"",""mineral"",""digestion"",""still""}","https://loremflickr.com/400/400/water,bottle?lock=942",bigbasket_dataset
Vesi Still Natural Mineral Water - Helps In Better Digestion,,other,,200.0,ml,18.75,15.0,INR,True,False,True,"{""water"",""helps"",""better"",""natural"",""vesi still natural mineral water - helps in better digestion"",""vesi"",""mineral"",""digestion"",""still""}","https://loremflickr.com/400/400/water,bottle?lock=2383",bigbasket_dataset
Tubig Still Natural Mineral Water - Helps In Better Digestion,,other,,200.0,ml,18.75,15.0,INR,True,False,True,"{""water"",""helps"",""better"",""natural"",""mineral"",""digestion"",""tubig"",""still"",""tubig still natural mineral water - helps in better digestion""}","https://loremflickr.com/400/400/water,bottle?lock=8997",bigbasket_dataset
Organic Cold Pressed Coconut Oil,,other,,250.0,ml,269.37,219.0,INR,True,True,True,"{""organic cold pressed coconut oil"",""coconut"",""pressed"",""cold"",""organic""}",https://loremflickr.com/400/400/oil?lock=8750,bigbasket_dataset
Mizu Naturelle Mineral Water - Helps In Better Digestion,,other,,200.0,ml,18.75,15.0,INR,True,False,True,"{""water"",""helps"",""better"",""mineral"",""mizu"",""digestion"",""naturelle"",""mizu naturelle mineral water - helps in better digestion""}","https://loremflickr.com/400/400/water,bottle?lock=542",bigbasket_dataset
"Aqa Natural Alkaline Mountain Water - High In Calcium, Magnesium",,other,,250.0,ml,32.8125,26.25,INR,True,False,True,"{""water"",""calcium,"",""magnesium"",""aqa natural alkaline mountain water - high in calcium, magnesium"",""alkaline"",""high"",""mountain"",""natural""}","https://loremflickr.com/400/400/water,bottle?lock=7951",bigbasket_dataset
"100% Belgian Dark Chocolate - Cranberries, 54% Cocoa Solids",,other,,50.0,g,192.21,149.0,INR,True,False,True,"{""cranberries,"",""chocolate"",""solids"",""belgian"",""100% belgian dark chocolate - cranberries, 54% cocoa solids"",""cocoa"",""100%"",""dark""}",https://loremflickr.com/400/400/chocolate?lock=4289,bigbasket_dataset
High Protein Range Blueberry Cheesecake Ice Cream,,other,,100.0,ml,131.544,113.4,INR,True,False,True,"{""range"",""cheesecake"",""high protein range blueberry cheesecake ice cream"",""blueberry"",""high"",""cream"",""protein""}",https://loremflickr.com/400/400/cheese?lock=1236,bigbasket_dataset
Alphonso Mango Conserve With No Added Sugar,,other,,330.0,g,199.65,165.0,INR,True,False,True,"{""added"",""conserve"",""alphonso mango conserve with no added sugar"",""sugar"",""alphonso"",""mango"",""with""}",https://loremflickr.com/400/400/sugar?lock=509,bigbasket_dataset
Kettle Cooked Potato Chips - Piri Piri & Lime,,other,,42.0,g,29.028,24.6,INR,True,False,True,"{""chips"",""cooked"",""kettle"",""piri"",""kettle cooked potato chips - piri piri & lime"",""potato"",""lime""}","https://loremflickr.com/400/400/grocery,product?lock=2656",bigbasket_dataset
Rice Popped Chips - Peri Peri Flavour,,other,,48.0,g,40.0,40.0,INR,False,False,True,"{""chips"",""peri"",""popped"",""rice"",""flavour"",""rice popped chips - peri peri flavour""}",https://loremflickr.com/400/400/rice?lock=9091,bigbasket_dataset
Gourmet Popcorn - Piri Piri & Lime,,other,,30.0,g,38.70399999999999,32.8,INR,True,False,True,"{""gourmet"",""gourmet popcorn - piri piri & lime"",""popcorn"",""piri"",""lime""}","https://loremflickr.com/400/400/grocery,product?lock=2648",bigbasket_dataset
Kettle Cooked Potato Chips - Hot & Sweet Chilli,,other,,42.0,g,38.70399999999999,32.8,INR,True,False,True,"{""sweet"",""chilli"",""chips"",""cooked"",""kettle"",""kettle cooked potato chips - hot & sweet chilli"",""potato""}","https://loremflickr.com/400/400/grocery,product?lock=8825",bigbasket_dataset
Kettle Cooked Potato Chips - Sour Cream & Onion,,other,,42.0,g,38.70399999999999,32.8,INR,True,False,True,"{""kettle cooked potato chips - sour cream & onion"",""chips"",""sour"",""cream"",""cooked"",""kettle"",""onion"",""potato""}","https://loremflickr.com/400/400/grocery,product?lock=6689",bigbasket_dataset
Milk Chocolate Buttons - 35% Cocoa,,other,,100.0,g,264.67,199.0,INR,True,False,True,"{""buttons"",""milk chocolate buttons - 35% cocoa"",""chocolate"",""milk"",""cocoa""}",https://loremflickr.com/400/400/milk?lock=7224,bigbasket_dataset
Dairy Milk Chocolate,,other,,165.0,g,350.0,350.0,INR,False,False,True,"{""dairy milk chocolate"",""dairy"",""chocolate"",""milk""}",https://loremflickr.com/400/400/milk?lock=3215,bigbasket_dataset
Gourmet Popcorn - Movie Theatre Butter,,other,,27.0,g,29.028,24.6,INR,True,False,True,"{""gourmet"",""gourmet popcorn - movie theatre butter"",""movie"",""popcorn"",""butter"",""theatre""}",https://loremflickr.com/400/400/butter?lock=4471,bigbasket_dataset
Dairy Milk Chocolate - Hazelnut,,other,,165.0,g,350.0,350.0,INR,False,False,True,"{""dairy milk chocolate - hazelnut"",""chocolate"",""dairy"",""milk"",""hazelnut""}",https://loremflickr.com/400/400/milk?lock=2364,bigbasket_dataset
Rice Popped Chips - Classic Salted Flavour,,other,,48.0,g,40.0,40.0,INR,False,False,True,"{""chips"",""rice popped chips - classic salted flavour"",""classic"",""salted"",""popped"",""rice"",""flavour""}",https://loremflickr.com/400/400/rice?lock=8410,bigbasket_dataset
